_id,bathrooms,bedrooms,beds,business_travel_ready,city,host_languages,latitude,longitude,monthly_price_factor,name,neighborhood,new_listing,person_capacity,price_rate,price_rate_type,property_type,refundable,reviews_count,room_type,scrim_color,section_offset,star_rating,superhost,tier_id,user_id,user_name,verified,weekly_price_factor
16965645,1.0,1,1,False,Kuta Selatan,,-8.817488184736828,115.09306686352781,1.0,Yoga Searcher Bali,South Kuta/Bukit Peninsula,False,2,195,nightly,44,False,0,private_room,#232821,1,,False,0,113467995,Dewi,False,1.0
15420419,3.0,3,4,False,Kuta Selatan,"en,fr,id,ja,ms,pt,zh",-8.806207919294943,115.1127878423071,0.8,Lovely Family Villa above Bingin Beach Access,South Kuta/Bukit Peninsula,False,7,191,nightly,11,False,3,entire_home,#2F3527,1,5.0,False,0,40756665,Kris & Wayana,False,0.85
6633958,4.0,4,5,False,South Kuta,"en,es,id,ja,pt,zh",-8.807342851996145,115.11638688687229,0.8,Bali Beach Villa With Elegant Charm,South Kuta/Bukit Peninsula,False,9,192,nightly,11,False,29,entire_home,#2B3324,1,5.0,False,0,4266227,"Jing, Wayana + Bukit Vista Hosts",False,0.85
5874064,3.0,3,4,False,South Kuta,"en,es,id,ja,pt,zh",-8.808687370707103,115.11758149718,0.85,Bingin Beach town Villa with Bohemian Charm #VB,South Kuta/Bukit Peninsula,False,7,191,nightly,11,False,23,entire_home,#686751,1,4.5,False,0,4266227,"Jing, Wayana + Bukit Vista Hosts",False,0.9
8574905,4.0,3,5,False,South Kuta,"en,id,pt,zh",-8.808529780969618,115.11673268302366,0.8,Elegant Bali Villa by Bingin Beach w/ private pool,South Kuta/Bukit Peninsula,False,7,188,nightly,11,False,13,entire_home,#203226,1,4.5,False,0,33886302,Jing & Bukit Vista Hospitality Team,False,0.85
9598009,2.0,3,3,False,Bingin Beach,,-8.801749064659242,115.11905039094037,0.8,"Hidden jewel, pool, near Beach",South Kuta/Bukit Peninsula,False,6,180,nightly,2,False,13,entire_home,#362E23,1,5.0,False,0,48771295,Bamboo,False,1.0
15185602,2.0,2,2,False,Kuta Selatan,"en,id",-8.826787339213737,115.15106733744345,1.0,AMAZING 2 BEDROOM PRIVATE POOL VILLA,South Kuta/Bukit Peninsula,False,4,175,nightly,11,False,2,entire_home,#2E2A1F,1,,False,0,26878441,Ida,False,1.0
20215899,4.0,4,4,False,Kuta Selatan,"en,id,ms",-8.842234538555525,115.18465485593813,0.85,4-Deluxe Room Pool Access with Pandawa Beach Club,South Kuta/Bukit Peninsula,False,8,167,nightly,3,False,0,private_room,#171518,1,,False,0,134989645,Diksa,False,0.93
5645940,4.0,4,4,False,Ungasan,"en,id",-8.83705059335823,115.15235208432625,0.77,Villa Indah 4 bd Bali,South Kuta/Bukit Peninsula,False,8,171,nightly,11,False,6,entire_home,#27231A,1,5.0,False,0,24952165,Indye,False,1.0
9642430,2.0,2,2,False,Nusa Dua,en,-8.825269,115.214508,1.0,Villa for holidays! ️ Beach walk,South Kuta/Bukit Peninsula,False,4,168,nightly,11,False,1,entire_home,#23261D,1,,True,0,2775661,Wayana,False,1.0
17391320,3.0,3,3,False,Kuta Selatan,"en,id,ms,zh",-8.807089392874829,115.11629276450734,0.8,Dreamy Surf Villa by the Beach,South Kuta/Bukit Peninsula,False,8,169,nightly,11,False,2,entire_home,#4A572B,1,,False,0,60439475,Jonson,False,0.9
